流水號,攝影機編號,WGSX,WGSY,攝影機路徑,攝影機數字編號
1,001-市民快承德,121.516899,25.048553,https://cctv.bote.gov.taipei:8502/jpg/001,001
2,002-環快忠孝橋,121.506042,25.049253,https://cctv.bote.gov.taipei:8502/jpg/002,002
3,003-環快中興橋,121.500679,25.044197,https://cctv.bote.gov.taipei:8502/jpg/003,003
4,004-環快華江橋,121.4904247,25.03527326,https://cctv.bote.gov.taipei:8502/jpg/004,004
5,005-環快光復橋,121.4912983,25.0248362,https://cctv.bote.gov.taipei:8502/jpg/005,005
6,006-環快華中橋,121.495305,25.016719,https://cctv.bote.gov.taipei:8502/jpg/006,006
7,007-水源快中正橋,121.5166651,25.02218833,https://cctv.bote.gov.taipei:8502/jpg/007,007
8,008-水源快師大,121.522281,25.020491,https://cctv.bote.gov.taipei:8502/jpg/008,008
9,009-辛亥快汀州,121.526881,25.018831,https://cctv.bote.gov.taipei:8502/jpg/009,009
10,010-辛亥快泰順,121.529495,25.019934,https://cctv.bote.gov.taipei:8502/jpg/010,010
11,011-辛亥快新生南,121.534517,25.022641,https://cctv.bote.gov.taipei:8502/jpg/011,011
12,012-建國快辛亥,121.536369,25.022418,https://cctv.bote.gov.taipei:8502/jpg/012,012
13,013-建國快和平,121.53751,25.02576,https://cctv.bote.gov.taipei:8502/jpg/013,013
14,014-建國快信義,121.537651,25.033466,https://cctv.bote.gov.taipei:8502/jpg/014,014
15,015-建國快仁愛,121.53798,25.03807,https://cctv.bote.gov.taipei:8502/jpg/015,015
16,016-建國快忠孝,121.53701,25.0416,https://cctv.bote.gov.taipei:8502/jpg/016,016
17,017-建國快長安,121.53684,25.04848,https://cctv.bote.gov.taipei:8502/jpg/017,017
18,018-建國快南京,121.53661,25.05187,https://cctv.bote.gov.taipei:8502/jpg/018,018
19,019-建國快民生,121.53703,25.05801,https://cctv.bote.gov.taipei:8502/jpg/019,019
20,020-建國快民權,121.53692,25.06228,https://cctv.bote.gov.taipei:8502/jpg/020,020
21,021-民族松江,121.53295,25.06831,https://cctv.bote.gov.taipei:8502/jpg/021,021
22,022-建國快圓山匝道,121.5336,25.07116,https://cctv.bote.gov.taipei:8502/jpg/022,022
23,023-水源快永福橋,121.52814,25.012011,https://cctv.bote.gov.taipei:8502/jpg/023,023
24,024-水源快福和橋,121.532405,25.008628,https://cctv.bote.gov.taipei:8502/jpg/024,024
25,025-基隆快羅斯,121.53717,25.01134,https://cctv.bote.gov.taipei:8502/jpg/025,025
26,026-基隆快辛亥,121.5468,25.019,https://cctv.bote.gov.taipei:8502/jpg/026,026
27,027-市民快環河,121.506905,25.050808,https://cctv.bote.gov.taipei:8502/jpg/027,027
28,028-市民快中山,121.520889,25.048124,https://cctv.bote.gov.taipei:8502/jpg/028,028
29,029-市民快敦化,121.548958,25.044937,https://cctv.bote.gov.taipei:8502/jpg/029,029
30,030-市民快松江,121.532738,25.045305,https://cctv.bote.gov.taipei:8502/jpg/030,030
31,031-市民快永吉,121.56501,25.044683,https://cctv.bote.gov.taipei:8502/jpg/031,031
32,032-市民快重慶匝道,121.512978,25.049494,https://cctv.bote.gov.taipei:8502/jpg/032,032
33,033-市民快新生匝道,121.530198,25.046084,https://cctv.bote.gov.taipei:8502/jpg/033,033
34,034-市民快建國北匝道,121.536842,25.044715,https://cctv.bote.gov.taipei:8502/jpg/034,034
35,035-市民快光復匝道,121.556938,25.044897,https://cctv.bote.gov.taipei:8502/jpg/035,035
36,036-市民快正氣橋上層,121.567345,25.045813,https://cctv.bote.gov.taipei:8502/jpg/036,036
37,037-市民快麥帥一橋,121.570717,25.051216,https://cctv.bote.gov.taipei:8502/jpg/037,037
38,038-基隆永吉,121.566913,25.045533,https://cctv.bote.gov.taipei:8502/jpg/038,038
39,039-環河民生,121.508362,25.056755,https://cctv.bote.gov.taipei:8502/jpg/039,039
40,040-民權西台北橋,121.508774,25.063412,https://cctv.bote.gov.taipei:8502/jpg/040,040
41,041-環河北敦煌,121.508559,25.076133,https://cctv.bote.gov.taipei:8502/jpg/041,041
42,042-承德中正,121.515997,25.090995,https://cctv.bote.gov.taipei:8502/jpg/042,042
43,043-重慶北交流道,121.513039,25.081245,https://cctv.bote.gov.taipei:8502/jpg/043,043
44,044-圓山中山橋,121.5253088,25.07627506,https://cctv.bote.gov.taipei:8502/jpg/044,044
45,045-大直橋,121.544685,25.077025,https://cctv.bote.gov.taipei:8502/jpg/045,045
46,046-民權撫遠,121.56593,25.06331,https://cctv.bote.gov.taipei:8502/jpg/046,046
47,047-麥帥二橋松山抽水站,121.57016,25.054733,https://cctv.bote.gov.taipei:8502/jpg/047,047
48,048-中正重陽橋,121.505803,25.085694,https://cctv.bote.gov.taipei:8502/jpg/048,048
49,049-環東快堤頂匝道,121.577797,25.05489,https://cctv.bote.gov.taipei:8502/jpg/049,049
50,050-環東快舊宗匝道,121.584259,25.058504,https://cctv.bote.gov.taipei:8502/jpg/050,050
51,051-環東快成功路,121.5910282,25.06109731,https://cctv.bote.gov.taipei:8502/jpg/051,051
52,052-環東快出城往東,121.600304,25.05835,https://cctv.bote.gov.taipei:8502/jpg/052,052
53,053-環東麥帥二橋往堤頂,121.573631,25.058311,https://cctv.bote.gov.taipei:8502/jpg/053,053
54,054-環東快成功橋,121.591705,25.060177,https://cctv.bote.gov.taipei:8502/jpg/054,054
55,055-環東快進城基河三期國宅,121.601273,25.058428,https://cctv.bote.gov.taipei:8502/jpg/055,055
56,056-環東快進城南湖大橋,121.611183,25.061342,https://cctv.bote.gov.taipei:8502/jpg/056,056
57,057-環東快經貿一路匝道,121.616203,25.062899,https://cctv.bote.gov.taipei:8502/jpg/057,057
58,058-三重南港,121.614059,25.054968,https://cctv.bote.gov.taipei:8502/jpg/058,058
59,059-經貿二南港,121.616638,25.055103,https://cctv.bote.gov.taipei:8502/jpg/059,059
60,060-環東匝道,121.619362,25.059399,https://cctv.bote.gov.taipei:8502/jpg/060,060
61,061-南湖大橋三重路,121.614487,25.060604,https://cctv.bote.gov.taipei:8502/jpg/061,061
62,063-洲美快道福國匝道,121.499135,25.101245,https://cctv.bote.gov.taipei:8502/jpg/063,063
63,064-洲美快13號道路匝道前,121.4991137,25.10613965,https://cctv.bote.gov.taipei:8502/jpg/064,064
64,065-洲美快焚化爐前,121.4986613,25.10812087,https://cctv.bote.gov.taipei:8502/jpg/065,065
65,066-洲美快13號道路,121.498663,25.112044,https://cctv.bote.gov.taipei:8502/jpg/066,066
66,067-洲美快大業路匝道,121.499687,25.116961,https://cctv.bote.gov.taipei:8502/jpg/067,067
67,068-大業大度,121.499672,25.121141,https://cctv.bote.gov.taipei:8502/jpg/068,068
68,069-環河北中正,121.505536,25.085722,https://cctv.bote.gov.taipei:8502/jpg/069,069
69,070-延平社中,121.501044,25.090495,https://cctv.bote.gov.taipei:8502/jpg/070,070
70,071-延平北通河西,121.497548,25.093829,https://cctv.bote.gov.taipei:8502/jpg/071,071
71,072-延平北通河西(堤防),121.497352,25.094381,https://cctv.bote.gov.taipei:8502/jpg/072,072
72,073-信義快萬芳交流道,121.580375,25.004241,https://cctv.bote.gov.taipei:8502/jpg/073,073
