流水號,攝影機編號,WGSX,WGSY
1,001-市民快承德,121.516899,25.048553
2,002-環快忠孝橋,121.506042,25.049253
3,003-環快中興橋,121.500679,25.044197
4,004-環快華江橋,121.4904247,25.03527326
5,005-環快光復橋,121.4912983,25.0248362
6,006-環快華中橋,121.495305,25.016719
7,007-水源快中正橋,121.5166651,25.02218833
8,008-水源快師大,121.522281,25.020491
9,009-辛亥快汀州,121.526881,25.018831
10,010-辛亥快泰順,121.529495,25.019934
11,011-辛亥快新生南,121.534517,25.022641
12,012-建國快辛亥,121.536369,25.022418
13,013-建國快和平,121.53751,25.02576
14,014-建國快信義,121.537651,25.033466
15,015-建國快仁愛,121.53798,25.03807
16,016-建國快忠孝,121.53701,25.0416
17,017-建國快長安,121.53684,25.04848
18,018-建國快南京,121.53661,25.05187
19,019-建國快民生,121.53703,25.05801
20,020-建國快民權,121.53692,25.06228
21,021-民族松江,121.53295,25.06831
22,022-建國快圓山匝道,121.5336,25.07116
23,023-水源快永福橋,121.52814,25.012011
24,024-水源快福和橋,121.532405,25.008628
25,025-基隆快羅斯,121.53717,25.01134
26,026-基隆快辛亥,121.5468,25.019
27,027-市民快環河,121.506905,25.050808
28,028-市民快中山,121.520889,25.048124
29,029-市民快敦化,121.548958,25.044937
30,030-市民快松江,121.532738,25.045305
31,031-市民快永吉,121.56501,25.044683
32,032-市民快重慶匝道,121.512978,25.049494
33,033-市民快新生匝道,121.530198,25.046084
34,034-市民快建國北匝道,121.536842,25.044715
35,035-市民快光復匝道,121.556938,25.044897
36,036-市民快正氣橋上層,121.567345,25.045813
37,037-市民快麥帥一橋,121.570717,25.051216
38,038-基隆永吉,121.566913,25.045533
39,039-環河民生,121.508362,25.056755
40,040-民權西台北橋,121.508774,25.063412
41,041-環河北敦煌,121.508559,25.076133
42,042-承德中正,121.515997,25.090995
43,043-重慶北交流道,121.513039,25.081245
44,044-圓山中山橋,121.5253088,25.07627506
45,045-大直橋,121.544685,25.077025
46,046-民權撫遠,121.56593,25.06331
47,047-麥帥二橋松山抽水站,121.57016,25.054733
48,048-中正重陽橋,121.505803,25.085694
49,049-環東快堤頂匝道,121.577797,25.05489
50,050-環東快舊宗匝道,121.584259,25.058504
51,051-環東快成功路,121.5910282,25.06109731
52,052-環東快出城往東,121.600304,25.05835
53,053-環東麥帥二橋往堤頂,121.573631,25.058311
54,054-環東快成功橋,121.591705,25.060177
55,055-環東快進城基河三期國宅,121.601273,25.058428
56,056-環東快進城南湖大橋,121.611183,25.061342
57,057-環東快經貿一路匝道,121.616203,25.062899
58,058-三重南港,121.614059,25.054968
59,059-經貿二南港,121.616638,25.055103
60,060-環東匝道,121.619362,25.059399
61,061-南湖大橋三重路,121.614487,25.060604
62,063-洲美快道福國匝道,121.499135,25.101245
